id,id_kota,nama_kecamatan
1101010,1101,TEUPAH SELATAN
1101020,1101,SIMEULUE TIMUR
1101021,1101,TEUPAH BARAT
1101022,1101,TEUPAH TENGAH
1101030,1101,SIMEULUE TENGAH
1101031,1101,TELUK DALAM
1101032,1101,SIMEULUE CUT
1101040,1101,SALANG
1101050,1101,SIMEULUE BARAT
1101051,1101,ALAFAN
1102010,1102,PULAU BANYAK
1102011,1102,PULAU BANYAK BARAT
1102020,1102,SINGKIL
1102021,1102,SINGKIL UTARA
1102022,1102,KUALA BARU
1102030,1102,SIMPANG KANAN
1102031,1102,GUNUNG MERIAH
1102032,1102,DANAU PARIS
1102033,1102,SURO
1102042,1102,SINGKOHOR
1102043,1102,KOTA BAHARU
1103010,1103,TRUMON
1103011,1103,TRUMON TIMUR
1103012,1103,TRUMON TENGAH
1103020,1103,BAKONGAN
1103021,1103,BAKONGAN TIMUR
1103022,1103,KOTA BAHAGIA
1103030,1103,KLUET SELATAN
1103031,1103,KLUET TIMUR
1103040,1103,KLUET UTARA
1103041,1103,PASIE RAJA
1103042,1103,KLUET TENGAH
1103050,1103,TAPAK TUAN
1103060,1103,SAMA DUA
1103070,1103,SAWANG
1103080,1103,MEUKEK
1103090,1103,LABUHAN HAJI
1103091,1103,LABUHAN HAJI TIMUR
1103092,1103,LABUHAN HAJI BARAT
1104010,1104,LAWE ALAS
1104011,1104,BABUL RAHMAH
1104012,1104,TANOH ALAS
1104020,1104,LAWE SIGALA-GALA
1104021,1104,BABUL MAKMUR
1104022,1104,SEMADAM
1104023,1104,LAUSER
1104030,1104,BAMBEL
1104031,1104,BUKIT TUSAM
1104032,1104,LAWE SUMUR
1104040,1104,BABUSSALAM
1104041,1104,LAWE BULAN
1104050,1104,BADAR
1104051,1104,DARUL HASANAH
1104052,1104,KETAMBE
1104053,1104,DELENG POKHKISEN
1105080,1105,SERBA JADI
1105081,1105,SIMPANG JERNIH
1105082,1105,PEUNARON
1105090,1105,BIREM BAYEUN
1105100,1105,RANTAU SELAMAT
1105101,1105,SUNGAI RAYA
1105110,1105,PEUREULAK
1105111,1105,PEUREULAK TIMUR
1105112,1105,PEUREULAK BARAT
1105120,1105,RANTO PEUREULAK
1105130,1105,IDI RAYEUK
1105131,1105,PEUDAWA
1105132,1105,BANDA ALAM
1105133,1105,IDI TUNONG
1105134,1105,DARUL IHSAN
1105135,1105,IDI TIMUR
1105140,1105,DARUL AMAN
1105150,1105,NURUSSALAM
1105151,1105,DARUL FALAH
1105160,1105,JULOK
1105161,1105,INDRA MAKMUR
1105170,1105,PANTE BIDARI
1105180,1105,SIMPANG ULIM
1105181,1105,MADAT
1106010,1106,LINGE
1106011,1106,ATU LINTANG
1106012,1106,JAGONG JEGET
1106020,1106,BINTANG
1106031,1106,LUT TAWAR
1106032,1106,KEBAYAKAN
1106040,1106,PEGASING
1106041,1106,BIES
1106050,1106,BEBESEN
1106051,1106,KUTE PANANG
1106060,1106,SILIH NARA
1106061,1106,KETOL
1106062,1106,CELALA
1106063,1106,RUSIP ANTARA
1107050,1107,JOHAN PAHLAWAN
1107060,1107,SAMATIGA
1107061,1107,BUBON
1107062,1107,ARONGAN LAMBALEK
1107070,1107,WOYLA
1107071,1107,WOYLA BARAT
1107072,1107,WOYLA TIMUR
1107080,1107,KAWAY XVI
1107081,1107,MEUREUBO
1107082,1107,PANTAI CEUREMEN
1107083,1107,PANTON REU
